Timestamp	Nome	Titulo	Descrição
40629.9218981481	Guilherme Silveira	Frente a Frente	Duas duplas implementar um programa simples em 30 minutos. Como quiser. Com uma linguagem escolhida antes, claro.	8/15/2011
	Caires	Code expressiveness: Vantagens e... desvantagens?	Leia o titulo.	8/22/2011
	Gabriel	U Y NO UX		8/29/2011
5/16/2011 15:57:02	Atoji	Brincando com o hardware do android	Não sei sobre que falar ainda.	8/8/2011
5/15/2011 21:58:19	Lucas Cavalcanti	JQuery + html5 para conteúdo dinâmico	como usar plugins JQuery e HTML5 para deixar um site bonito e dinâmico sem mto esforço... isso de um jeito que fica também fácil de manter	9/12/2011
2/25/2011 15:09:42	Guilherme Silveira	Refatora enquanto come	Trazendo algum código de algum projeto em Java ou Ruby, refatoramos enquanto comemos.	9/19/2011
5/15/2011 2:32:09	Adriano Almeida	Então vc quer entender o que são Algoritmos Genéticos	Mostrar o que são e casos de uso práticos. Exemplo de código funcionando tb.	9/26/2011
5/15/2011 18:27:00	Guilherme Silveira	Conciso. Sem ciso. Procurando o limite entre o eu e o outro?	Mostrar a apresentação sobre o que é ser conciso, quando falta, quando sobra, quando o texto é para nos e quando é para o outro.	10/3/2011
5/30/2011 17:48:21	Mauricio Aniche	Asp.Net Mvc	Gostaria de mostrar por cima como funciona o framework Asp.Net Mvc, da Microsoft, que vem evoluindo ao longo dos anos.  É interessante a discussão já que a criação de cursos de .NET estão sendo estudados.	10/10/2011
4/15/2011 20:23:56	Lucas Cavalcanti	Implementando Active Record em Scala, sem extends ActiveRecord::Base ;)	Active Record em Scala sem todas aquelas má-práticas de desenvolvimento que a gente xinga no Rails, e com injeção de dependências!	10/17/2011
7/16/2011 10:57:16	Luiz (Sr. Saúde)	Burlando o query cache do Hibernate	Mostrarei como fizemos para que, no CaelumWeb, o query cache não fosse invalidado toda vez que um usuário fizesse login.	10/24/2011
8/11/2011 18:45:03	Lucas Cavalcanti	Amazon Web Services - oquié e comofas?	Falar sobre o que são os serviços da amazon e como usá-los via console e via api
5/15/2011 2:22:57	Adriano Almeida	Antes de sair falando q JSF eh ruim, entenda os pqs	Muita gente tem preconceito com o JSF, acontece que a maioria das pessoas que falam que ele é uma droga não faz a menor ideia do pq está falando isso, e sim está seguindo meia dúzia de famosinhos da comunidade que um dia afirmaram isso.  Você sabe me dizer um motivo pro JSF ser ruim? Se pensou em 1 motivo, já pensou que esse 1 motivo ruim pode ter seu lado bom pra outras pessoas?  O objetivo não é dizer que ele é ruim ou não. É apenas entender as ideias por trás dele pra que você não leve falácias e FUDs para frente pro resto de sua vida.	9/5/2011
